fecha,cita,resumen
2025-02-11," Mc 7,1-13",«¿Por qué tus discípulos no viven conforme a la tradición de los antepasados?» Hoy contemplamos cómo algunas tradiciones...
2025-02-12," Mc 7,14-23","«Nada hay fuera del hombre que, entrando en él, pueda contaminarle» Hoy Jesús nos enseña que todo lo que Dios ha hecho e..."
2025-02-13," Mc 7,24-30",«Vino y se postró a sus pies (...) le rogaba que expulsara de su hija al demonio» Hoy se nos muestra la fe de una mujer ...
2025-02-14," Mc 7,31-37","«Todo lo ha hecho bien» Hoy, el Evangelio nos presenta un milagro de Jesús: hizo volver la escucha y destrabó la lengua ..."
2025-02-15," Mc 8,1-10","«No tienen qué comer» Hoy, tiempo de inclemencia y desasosiego, también Jesús nos llama para decirnos que siente «compas..."
2025-02-16," Lc 6,17.20-26",«Alegraos ese día y saltad de gozo» Hoy volvemos a vivir las bienaventuranzas y las “malaventuranzas”: «Bienaventurados ...
2025-02-17," Mc 8,11-13","«Yo os aseguro: no se dará a esta generación ninguna señal» Hoy, el Evangelio parece que no nos diga mucho ni de Jesús n..."
2025-02-18," Mc 8,14-21",«Guardaos de la levadura de los fariseos» Hoy —una vez más— vemos la sagacidad del Señor Jesús. Su actuar es sorprendent...
2025-02-19," Mc 8,22-26","«Quedó curado, de suerte que veía claramente todas las cosas» Hoy a través de un milagro, Jesús nos habla del proceso de..."
2025-02-20," Mc 8,27-33","«¿Quién dicen los hombres que soy yo? (...) Y vosotros, ¿quién decís que soy yo?» Hoy seguimos escuchando la Palabra de ..."
2025-02-21," Mc 8,34-9,1","«Si alguno quiere venir en pos de mí, niéguese a sí mismo, tome su cruz y sígame» Hoy el Evangelio nos habla de dos tema..."
2025-02-22," Mt 16,13-19","«Y yo te digo que tú eres Pedro, y sobre esta piedra edificaré mi Iglesia» Hoy celebramos la Cátedra de san Pedro. Desde..."
2025-02-23," Lc 6,27-38","«Sed compasivos, como vuestro Padre es compasivo» Hoy escuchamos unas palabras del Señor que nos invitan a vivir la cari..."
2025-02-24," Mc 9,14-29","«¡Creo, ayuda a mi poca fe!» Hoy contemplamos —¡una vez más!— al Señor solicitado por la gente («corrieron a saludarle»)..."
2025-02-25," Mc 9,30-37","«El Hijo del hombre será entregado» Hoy, el Evangelio nos trae dos enseñanzas de Jesús, que están estrechamente ligadas ..."
2025-02-26," Mc 9,38-40","«El que no está contra nosotros, está por nosotros» Hoy escuchamos una recriminación al apóstol Juan, que ve a gente obr..."
2025-02-27," Mc 9,41-50","«Todo aquel que os dé de beber un vaso de agua por el hecho de que sois de Cristo, os aseguro que no perderá su recompen..."
2025-02-28," Mc 10,1-12","«Como acostumbraba, les enseñaba» Hoy, Señor, quisiera hacer un rato de oración para agradecerte tu enseñanza. Tú enseña..."
2025-03-01," Mc 10,13-16","«Dejad que los niños vengan a mí» Hoy, los niños son noticia. Más que nunca, los niños tienen mucho que decir, a pesar d..."
2025-03-02," Lc 6,39-45","«El hombre bueno, del buen tesoro del corazón saca lo bueno» Hoy hay sed de Dios, hay frenesí por encontrar un sentido a..."
2025-03-03," Mc 10,17-27","«Anda, cuanto tienes véndelo y dáselo a los pobres (...); luego, ven y sígueme» Hoy, la liturgia nos presenta un evangel..."
2025-03-04," Mc 10,28-31","«Nadie que haya dejado casa (...) por mí y por el Evangelio, quedará sin recibir el ciento por uno (...) y en el mundo v..."
2025-03-05," Mt 6,1-6.16-18",«Cuidad de no practicar vuestra justicia delante de los hombres para ser vistos por ellos» Hoy comenzamos nuestro itiner...
2025-03-06," Lc 9,22-25","«Si alguno quiere venir en pos de mí, niéguese a sí mismo, tome su cruz cada día, y sígame» Hoy es el primer jueves de C..."
2025-03-07," Mt 9,14-15","«Días vendrán en que les será arrebatado el novio; entonces ayunarán» Hoy, primer viernes de Cuaresma, habiendo vivido e..."
2025-03-08," Lc 5,27-32","«No he venido a llamar a conversión a justos, sino a pecadores» Hoy vemos cómo avanza la Cuaresma y la intensidad de la ..."
2025-03-09," Lc 4,1-13","«Era conducido por el Espíritu en el desierto, durante cuarenta días, tentado por el diablo» Hoy, Jesús, «lleno de Espír..."
2025-03-10," Mt 25,31-46","«Cuanto dejasteis de hacer con uno de estos más pequeños, también conmigo dejasteis de hacerlo» Hoy se nos recuerda el j..."
2025-03-11," Mt 6,7-15","«Al orar, no charléis mucho (...) porque vuestro Padre sabe lo que necesitáis» Hoy, Jesús —que es el Hijo de Dios— me en..."
2025-03-12," Lc 11,29-32","«Así como Jonás fue señal para los ninivitas, así lo será el Hijo del hombre para esta generación» Hoy, Jesús nos dice q..."
2025-03-13," Mt 7,7-12","«Todo el que pide recibe; el que busca, halla» Hoy, Jesús nos habla de la necesidad y del poder de la oración. No podemo..."
2025-03-14," Mt 5,20-26","«Deja tu ofrenda allí, delante del altar, y vete primero a reconciliarte con tu hermano» Hoy, el Señor, al hablarnos de ..."
2025-03-15," Mt 5,43-48","«Amad a vuestros enemigos y rogad por los que os persigan» Hoy, el Evangelio nos exhorta al amor más perfecto. Amar es q..."
2025-03-16," Lc 9,28-36","«Jesús subió al monte a orar» Hoy, segundo domingo de Cuaresma, la liturgia de la palabra nos trae invariablemente el ep..."
2025-03-17," Lc 6,36-38","«Sed compasivos, como vuestro Padre es compasivo» Hoy, ¿cómo debe actuar un cristiano ante sus hermanos y hermanas? Pues..."
2025-03-18," Mt 23,1-12","«Uno solo es vuestro Maestro; (...) uno solo es vuestro Padre; (...) uno solo es vuestro Doctor» Hoy, con mayor razón, d..."
