fecha,cita,resumen
2025-04-01," Jn 5,1-3.5-16","«Jesús, viéndole tendido (...), le dice: ‘¿Quieres curarte?’» Hoy, san Juan nos habla de la escena de la piscina de Bets..."
2025-04-02," Jn 5,17-30","«En verdad, en verdad os digo: el que escucha mi Palabra y cree en el que me ha enviado, tiene vida eterna» Hoy, el Evan..."
2025-04-03," Jn 5,31-47","«Si yo diera testimonio de mí mismo, mi testimonio no sería válido» Hoy, el Evangelio nos enseña cómo Jesús hace frente ..."
2025-04-04," Jn 7,1-2.10.14.25-30","«Nadie le echó mano, porque todavía no había llegado su hora» Hoy, el Evangelio nos permite contemplar la confusión que ..."
2025-04-05," Jn 7,40-53",«Jamás un hombre ha hablado como habla ese hombre» Hoy el Evangelio nos presenta las diferentes reacciones que producían...
2025-04-06," Jn 8,1-11","«Tampoco yo te condeno» Hoy vemos a Jesús «escribir con el dedo en la tierra» (Jn 8,6), como si estuviera a la vez ocupa..."
2025-04-07," Jn 8,12-20","«Yo soy la luz del mundo» Hoy, Jesús nos da una definición de Él mismo, que llena de sentido la vida de quienes, a pesar..."
2025-04-08," Jn 8,21-30","«Cuando hayáis levantado al Hijo del hombre, entonces sabréis que Yo Soy» Hoy, martes V de Cuaresma, a una semana de la ..."
2025-04-09," Jn 8,31-42","«Si Dios fuera vuestro Padre, me amaríais a mí» Hoy, el Señor dirige duras palabras a los judíos. No a cualquier judío, ..."
2025-04-10," Jn 8,51-59",«Vuestro Padre Abraham se regocijó pensando en ver mi día; lo vio y se alegró» Hoy nos sitúa san Juan ante una manifesta...
2025-04-11," Jn 10,31-42","«¿Por cuál de esas obras queréis apedrearme?» Hoy viernes, cuando sólo falta una semana para conmemorar la muerte del Se..."
2025-04-12," Jn 11,45-56","«Jesús iba a morir por la nación, y no sólo por la nación, sino también para reunir en uno a los hijos de Dios que estab..."
2025-04-13," Lc 22,14-23,56","«Padre, perdónalos, porque no saben lo que hacen» Hoy leemos el relato de la pasión según san Lucas. En este evangelista..."
2025-04-14," Jn 12,1-11","«Ungió los pies de Jesús y los secó con sus cabellos» Hoy, en el Evangelio, se nos resumen dos actitudes sobre Dios, Jes..."
2025-04-15," Jn 13,21-33.36-38","«Era de noche» Hoy, Martes Santo, la liturgia pone el acento sobre el drama que está a punto de desencadenarse y que con..."
2025-04-16," Mt 26,14-25","«¿Acaso soy yo?» Hoy, el Evangelio nos presenta tres escenas: la traición de Judas, los preparativos para celebrar la Pa..."
2025-04-17," Jn 13,1-15","«Si yo, el Señor y el Maestro, os he lavado los pies, vosotros también debéis lavaros los pies unos a otros» Hoy recorda..."
2025-04-18," Jn 18,1—19,42","«Cuando tomó Jesús el vinagre, dijo: ‘Todo está cumplido’. E inclinando la cabeza entregó el espíritu» Hoy celebramos el..."
2025-04-19, ,"«---» Hoy no meditamos un evangelio en particular, puesto que es un día que carece de liturgia. Pero, con María, la únic..."
2025-04-20," Jn 20,1-9","«Entró también el otro discípulo, el que había llegado el primero al sepulcro; vio y creyó» Hoy «es el día que hizo el S..."
2025-04-21," Mt 28,8-15","«Las mujeres partieron a toda prisa del sepulcro, con miedo y gran gozo, y corrieron a dar la noticia a sus discípulos» ..."
2025-04-22," Jn 20,11-18","«Fue María Magdalena y dijo a los discípulos que había visto al Señor» Hoy, en la figura de María Magdalena, podemos con..."
2025-04-23," Lc 24,13-35",«¿No estaba ardiendo nuestro corazón dentro de nosotros cuando nos hablaba en el camino y nos explicaba las Escrituras?»...
2025-04-24," Lc 24,35-48","«La paz con vosotros» Hoy, Cristo resucitado saluda a los discípulos, nuevamente, con el deseo de la paz: «La paz con vo..."
2025-04-25," Jn 21,1-14","«Ésta fue la tercera vez que Jesús se manifestó a los discípulos después de resucitar de entre los muertos» Hoy, Jesús p..."
2025-04-26," Mc 16,9-15","«Id por todo el mundo y proclamad la Buena Nueva a toda la creación» Hoy, confiando en Jesús resucitado, hemos de redesc..."
2025-04-27," Jn 20,19-31","«Recibid el Espíritu Santo. A quienes perdonéis los pecados, les quedan perdonados» Hoy, Domingo II de Pascua, completam..."
2025-04-28," Jn 3,1-8","«El que no nazca de lo alto no puede ver el Reino de Dios» Hoy, un «magistrado judío» (Jn 3,1) va al encuentro de Jesús...."
2025-04-29," Jn 3,7-15","«Tenéis que nacer de lo alto» Hoy, Jesús nos expone la dificultad de prevenir y conocer la acción del Espíritu Santo: de..."
2025-04-30," Jn 3,16-21","«Vino la luz al mundo» Hoy, ante la miríada de opiniones que plantea la vida moderna, puede parecer que la verdad ya no ..."
2025-05-01," Jn 3,31-36","«El que cree en el Hijo tiene vida eterna» Hoy, el Evangelio nos invita a dejar de ser “terrenales”, a dejar de ser homb..."
2025-05-02," Jn 6,1-15","«Él sabía lo que iba a hacer» Hoy, el Evangelio nos recuerda un milagro ante cinco mil hombres cuando «tomó Jesús los pa..."
2025-05-03," Jn 14,6-14","«Yo soy el camino, la verdad y la vida. (...) El que me ha visto a mí, ha visto al Padre» Hoy celebramos la fiesta de lo..."
2025-05-04," Jn 21,1-19","«Jesús les dice: ‘Venid y comed’» Hoy, tercer Domingo de Pascua, contemplamos todavía las apariciones del Resucitado, es..."
2025-05-05," Jn 6,22-29","«Obrad (…) por el alimento que permanece para la vida eterna» Hoy, después de la multiplicación de los panes, la multitu..."
2025-05-06," Jn 6,30-35","«Es mi Padre el que os da el verdadero pan del cielo» Hoy, en las palabras de Jesús podemos constatar la contraposición ..."
2025-05-07," Jn 6,35-40","«El que venga a mí, no tendrá hambre» Hoy vemos cuánto le preocupan a Dios nuestro hambre y nuestra sed. ¿Cómo podríamos..."
2025-05-08," Jn 6,44-51","«Yo soy el pan vivo, bajado del cielo» Hoy cantamos al Señor de quien nos viene la gloria y el triunfo. El Resucitado se..."
2025-05-09," Jn 6,52-59","«En verdad, en verdad os digo: si no coméis la carne del Hijo del hombre, y no bebéis su sangre, no tenéis vida en vosot..."
2025-05-10," Jn 6,60-69","«Tú tienes palabras de vida eterna» Hoy acabamos de leer en el Evangelio el discurso de Jesús sobre el Pan de Vida, que ..."
2025-05-11," Jn 10,27-30","«Mis ovejas escuchan mi voz, y yo las conozco» Hoy, la mirada de Jesús sobre los hombres es la mirada del Buen Pastor, q..."
2025-05-12," Jn 10,1-10","«El que entra por la puerta es pastor de las ovejas (...) las ovejas escuchan su voz (...) y las ovejas le siguen, porqu..."
2025-05-13," Jn 10,22-30","«Yo y el Padre somos uno» Hoy vemos a Jesús que se «paseaba por el Templo, en el pórtico de Salomón» (Jn 10,23), durante..."
2025-05-14," Jn 15,9-17","«Os he dicho esto, para que mi gozo esté en vosotros, y vuestro gozo sea colmado» Hoy, la Iglesia recuerda el día en el ..."
2025-05-15," Jn 13,16-20","«Después de lavar los pies a sus discípulos...» Hoy, como en aquellos films que comienzan recordando un hecho pasado, la..."
2025-05-16," Jn 14,1-6","«Yo soy el Camino, la Verdad y la Vida. Nadie va al Padre sino por mí» Hoy, en este Viernes IV de Pascua, Jesús nos invi..."
2025-05-17," Jn 14,7-14","«Yo estoy en el Padre y el Padre está en mí» Hoy, estamos invitados a reconocer en Jesús al Padre que se nos revela. Fel..."
