fecha,cita,resumen
2025-07-01," Mt 8,23-27","«Entonces se levantó, increpó a los vientos y al mar, y sobrevino una gran bonanza» Hoy, Martes XIII del tiempo ordinari..."
2025-07-02," Mt 8,28-34",«Le rogaron que se retirase de su término» Hoy contemplamos un triste contraste. “Contraste” porque admiramos el poder y...
2025-07-03," Jn 20,24-29","«Señor mío y Dios mío» Hoy, la Iglesia celebra la fiesta de santo Tomás. El evangelista Juan, después de describir la ap..."
2025-07-04," Mt 9,9-13","«Sígueme» Hoy, con esta palabra, sencilla pero profunda —“Sígueme”—, Jesús transforma la vida de Mateo. Un publicano, un..."
2025-07-05," Mt 9,14-17",«Días vendrán en que les será arrebatado el novio; entonces ayunarán» Hoy notamos cómo con Jesús comenzaron unos tiempos...
2025-07-06," Lc 10,1-12.17-20","«¡Poneos en camino!» Hoy, nos fijamos en algunos que, entre la multitud, han procurado acercarse a Jesucristo, que está ..."
2025-07-07," Mt 9,18-26","«Tu fe te ha salvado» Hoy, la liturgia de la Palabra nos invita a admirar dos magníficas manifestaciones de fe. Tan magn..."
2025-07-08," Mt 9,32-38","«Rogad (...) al Dueño de la mies que envíe obreros a su mies» Hoy, el Evangelio nos habla de la curación de un endemonia..."
2025-07-09," Mt 10,1-7","«Id proclamando que el Reino de los Cielos está cerca» Hoy, el Evangelio nos muestra a Jesús enviando a sus discípulos e..."
2025-07-10," Mt 10,7-15","«Id proclamando que el Reino de los Cielos está cerca» Hoy, el texto del Evangelio nos invita a evangelizar; nos dice: «..."
2025-07-11," Mt 10,16-23","«Seréis odiados de todos por causa de mi nombre» Hoy, el Evangelio remarca las dificultades y las contradicciones que el..."
2025-07-12," Mt 10,24-33","«No está el discípulo por encima del maestro» Hoy, el Evangelio nos invita a reflexionar sobre la relación maestro-discí..."
2025-07-13," Lc 10,25-37","«Un samaritano (...) tuvo compasión; y, acercándose, vendó sus heridas (...) y, montándole sobre su propia cabalgadura....."
2025-07-14," Mt 10,34--11,1",«El que no toma su cruz y me sigue detrás no es digno de mí» Hoy Jesús nos ofrece una mezcla explosiva de recomendacione...
2025-07-15," Mt 11,20-24","«¡Ay de ti, Corozaín! ¡Ay de ti, Betsaida!» Hoy, Cristo reprende a dos ciudades de Galilea, Corozaín y Betsaida, por su ..."
2025-07-16," Mt 11,25-27","«Has ocultado estas cosas a sabios e inteligentes, y se las has revelado a pequeños» Hoy, el Evangelio nos ofrece la opo..."
2025-07-17," Mt 11,28-30","«Venid a mí todos los que estáis fatigados (…), yo os daré descanso» Hoy, ante un mundo que ha decidido darle la espalda..."
2025-07-18," Mt 12,1-8","«Misericordia quiero y no sacrificio» Hoy el Señor se acerca al sembrado de tu vida, para recoger frutos de santidad. ¿E..."
2025-07-19," Mt 12,14-21","«Los curó a todos» Hoy encontramos un doble mensaje. Por un lado, Jesús nos llama con una bella invitación a seguirlo: «..."
