fecha,cita,resumen
2026-04-01," Mt 26,14-25","«¿Acaso soy yo?» Hoy, el Evangelio nos presenta tres escenas: la traición de Judas, los preparativos para celebrar la Pa..."
2026-04-02," Jn 13,1-15","«Si yo, el Señor y el Maestro, os he lavado los pies, vosotros también debéis lavaros los pies unos a otros» Hoy recorda..."
2026-04-03," Jn 18,1—19,42","«Cuando tomó Jesús el vinagre, dijo: ‘Todo está cumplido’. E inclinando la cabeza entregó el espíritu» Hoy celebramos el..."
2026-04-04, ,"«---» Hoy no meditamos un evangelio en particular, puesto que es un día que carece de liturgia. Pero, con María, la únic..."
2026-04-05,N/A,N/A
2026-04-06," Mt 28,8-15","«Las mujeres partieron a toda prisa del sepulcro, con miedo y gran gozo, y corrieron a dar la noticia a sus discípulos» ..."
2026-04-07," Jn 20,11-18","«Fue María Magdalena y dijo a los discípulos que había visto al Señor» Hoy, en la figura de María Magdalena, podemos con..."
2026-04-08," Lc 24,13-35",«¿No estaba ardiendo nuestro corazón dentro de nosotros cuando nos hablaba en el camino y nos explicaba las Escrituras?»...
2026-04-09," Lc 24,35-48","«La paz con vosotros» Hoy, Cristo resucitado saluda a los discípulos, nuevamente, con el deseo de la paz: «La paz con vo..."
2026-04-10," Jn 21,1-14","«Ésta fue la tercera vez que Jesús se manifestó a los discípulos después de resucitar de entre los muertos» Hoy, Jesús p..."
2026-04-11," Mc 16,9-15","«Id por todo el mundo y proclamad la Buena Nueva a toda la creación» Hoy, confiando en Jesús resucitado, hemos de redesc..."
2026-04-12," Jn 20,19-31","«Recibid el Espíritu Santo. A quienes perdonéis los pecados, les quedan perdonados» Hoy, Domingo II de Pascua, completam..."
2026-04-13," Jn 3,1-8","«El que no nazca de lo alto no puede ver el Reino de Dios» Hoy, un «magistrado judío» (Jn 3,1) va al encuentro de Jesús...."
2026-04-14," Jn 3,7-15","«Tenéis que nacer de lo alto» Hoy, Jesús nos expone la dificultad de prevenir y conocer la acción del Espíritu Santo: de..."
2026-04-15," Jn 3,16-21","«Vino la luz al mundo» Hoy, ante la miríada de opiniones que plantea la vida moderna, puede parecer que la verdad ya no ..."
2026-04-16," Jn 3,31-36","«El que cree en el Hijo tiene vida eterna» Hoy, el Evangelio nos invita a dejar de ser “terrenales”, a dejar de ser homb..."
2026-04-17," Jn 6,1-15","«Él sabía lo que iba a hacer» Hoy, el Evangelio nos recuerda un milagro ante cinco mil hombres cuando «tomó Jesús los pa..."
2026-04-18," Jn 6,16-21","«Soy yo. No temáis» Hoy, Jesús nos desconcierta. Estábamos acostumbrados a un Redentor que, presto para atender todo tip..."
2026-04-19," Lc 24,13-35","«Aquel mismo día, el domingo» Hoy comenzamos la proclamación del Evangelio con la expresión: «Aquel mismo día, el doming..."
