fecha,cita,resumen
2026-08-01," Mt 14,1-12","«Se enteró el tetrarca Herodes de la fama de Jesús» Hoy, la liturgia nos invita a contemplar una injusticia: la muerte d..."
2026-08-02," Mt 14,13-21","«Traédmelos» Hoy, Jesús nos muestra lo mucho que desea involucrarnos en su trabajo de redención. Él, que ha creado el ci..."
2026-08-03," Mt 14,13-21","«Levantando los ojos al cielo...» Hoy, el Evangelio toca nuestros “bolsillos mentales”... Por esto, como en tiempos de J..."
2026-08-04," Mt 14,22-36","«Señor, si eres tú, mándame ir donde tú sobre las aguas» Hoy no veremos a Jesús durmiendo en la barca mientras ésta se h..."
2026-08-05," Mt 15,21-28","«Mujer, grande es tu fe» Hoy escuchamos a menudo expresiones como “ya no queda fe”, y lo dicen personas que piden a nues..."
2026-08-06," Lc 10,38-42","«Te preocupas y te agitas por muchas cosas; y hay necesidad de pocas, o mejor, de una sola» Hoy, también nosotros —atare..."
2026-08-07," Mt 16,24-28","«Si alguno quiere venir en pos de mí, niéguese a sí mismo, tome su cruz y sígame» Hoy, el Evangelio nos sitúa claramente..."
2026-08-08," Mt 17,14-20","«Si tenéis fe como un grano de mostaza (...) nada os será imposible» Hoy, una vez más, Jesús da a entender que la medida..."
2026-08-09," Mt 14,22-33","«Empezó a hundirse y gritó: ‘Señor, sálvame’» Hoy, la experiencia de Pedro refleja situaciones que hemos experimentado t..."
2026-08-10," Jn 12,24-26","«Si alguno me sirve, que me siga, y donde yo esté, allí estará también mi servidor» Hoy, la Iglesia —mediante la liturgi..."
2026-08-11," Mt 18,1-5.10.12-14","«No es voluntad de vuestro Padre celestial que se pierda uno solo de estos pequeños» Hoy, el Evangelio nos vuelve a reve..."
2026-08-12," Mt 18,15-20","«Si tu hermano llega a pecar, vete y repréndele, a solas tú con él (...) donde están dos o tres reunidos en mi nombre, a..."
2026-08-13," Mt 18,21—19,1","«Señor, ¿cuántas veces tengo que perdonar las ofensas que me haga mi hermano?» Hoy, preguntar «¿cuántas veces tengo que ..."
2026-08-14," Mt 19,3-12","«Pues bien, lo que Dios unió no lo separe el hombre» Hoy, Jesús contesta a las preguntas de sus contemporáneos acerca de..."
2026-08-15," Lc 1,39-56",«Proclama mi alma la grandeza del Señor y mi espíritu se alegra en Dios mi Salvador» Hoy celebramos la solemnidad de la ...
2026-08-16," Mt 15,21-28",«Señor; (...) también los perros se comen las migajas que caen de la mesa de los amos» Hoy contemplamos la escena de la ...
2026-08-17," Mt 19,16-22",«¿Qué he de hacer de bueno para conseguir vida eterna?» Hoy la liturgia de la palabra pone ante nuestra consideración el...
2026-08-18," Mt 19,23-30","«Un rico difícilmente entrará en el Reino de los Cielos... Entonces, ¿quién se podrá salvar?» Hoy contemplamos la reacci..."
2026-08-19," Mt 20,1-16","«Los últimos serán primeros y los primeros, últimos» Hoy, la Palabra de Dios nos invita a ver que la “lógica” divina va ..."
2026-08-20," Mt 22,1-14","«Mi banquete está preparado, se han matado ya mis novillos y animales cebados, y todo está a punto; venid a la boda» Hoy..."
2026-08-21," Mt 22,34-40","«Amarás al Señor, tu Dios... Amarás a tu prójimo» Hoy, el maestro de la Ley le pregunta a Jesús: «¿Cuál es el mandamient..."
2026-08-22," Mt 23,1-12","«El que se ensalce, será humillado; y el que se humille, será ensalzado» Hoy, Jesucristo nos dirige nuevamente una llama..."
2026-08-23," Mt 16,13-20","«¿Quién dicen los hombres que es el Hijo del hombre? (…). Y vosotros, ¿quién decís que soy yo?» Hoy, la profesión de fe ..."
2026-08-24," Jn 1,45-51",«Ven y lo verás» Hoy celebramos la fiesta del apóstol san Bartolomé. El evangelista san Juan relata su primer encuentro ...
2026-08-25," Mt 23,23-26","«Purifica primero por dentro la copa, para que también por fuera quede pura» Hoy tenemos la impresión de “pillar” a Jesú..."
2026-08-26," Mt 23,27-32","«¡Ay de vosotros, escribas y fariseos hipócritas!» Hoy, como en los días anteriores y los que siguen, contemplamos a Jes..."
2026-08-27," Mt 24,42-51","«Estad preparados» Hoy, el texto evangélico nos habla de la incertidumbre del momento en que vendrá el Señor: «No sabéis..."
2026-08-28," Mt 25,1-13","«En verdad os digo que no os conozco» Hoy, Viernes XXI del tiempo ordinario, el Señor nos recuerda en el Evangelio que h..."
