fecha,cita,resumen
2026-01-01," Lc 2,16-21","«Los pastores fueron a toda prisa, y encontraron a María y a José, y al Niño acostado en el pesebre» Hoy, la Iglesia con..."
2026-01-02," Jn 1,19-28","«En medio de vosotros está uno (…) que viene detrás de mí» Hoy, en el Evangelio de la liturgia eucarística, leemos el te..."
2026-01-03," Jn 1,29-34","«Yo le he visto y doy testimonio de que éste es el Elegido de Dios» Hoy, san Juan Bautista da testimonio sobre el Bautis..."
2026-01-04," Jn 1,1-18","«Y la Palabra se hizo carne, y puso su morada entre nosotros, y hemos contemplado su gloria» Hoy, el Evangelio de Juan s..."
2026-01-05," Jn 1,43-51","«Ven y lo verás» Hoy, Felipe nos da una lección cabal al acompañar a Natanael hasta el Maestro. Actúa como el amigo que ..."
2026-01-06," Mt 2,1-12","«Entraron en la casa; vieron al Niño con María su madre y, postrándose, le adoraron» Hoy, el profeta Isaías nos anima: «..."
2026-01-07," Mt 4,12-17.23-25","«El Reino de los cielos está cerca» Hoy, por así decirlo, recomenzamos. El «Pueblo que estaba sentado en tinieblas, vio ..."
2026-01-08," Mc 6, 34-44","«Porque eran como ovejas que no tienen pastor» Hoy, Jesús nos muestra que Él es sensible a las necesidades de las person..."
2026-01-09," Mc 6,45-52","«Después de despedirse de ellos, se fue al monte a orar» Hoy, contemplamos cómo Jesús, después de despedir a los Apóstol..."
2026-01-10," Lc 4,14-22","«El Espíritu del Señor está sobre mí, porque me ha ungido» Hoy recordamos que «quien ama Dios, ame también a su hermano»..."
2026-01-11," Mt 3,13-17","«Jesús vino de Galilea al Jordán donde estaba Juan, para ser bautizado» Hoy contemplamos al Mesías —el Ungido— en el Jor..."
2026-01-12," Mc 1,14-20","«Convertíos y creed en la Buena Nueva» Hoy, el Evangelio nos invita a la conversión. «Convertíos y creed en la Buena Nue..."
2026-01-13," Mc 1,21-28","«Quedaban asombrados de su doctrina, porque les enseñaba como quien tiene autoridad, y no como los escribas» Hoy, primer..."
2026-01-14," Mc 1,29-39","«De madrugada, cuando todavía estaba muy oscuro, se levantó, salió y fue a un lugar solitario y allí se puso a hacer ora..."
2026-01-15," Mc 1,40-45","«‘Si quieres, puedes limpiarme’ (...). ‘Quiero; queda limpio’» Hoy, durante nuestro tiempo diario de oración deseamos y ..."
