fecha,cita,resumen
2026-11-01," Mt 5,1-12a",«Alegraos y regocijaos» Hoy celebramos la realidad de un misterio salvador expresado en el “credo” y que resulta muy con...
2026-11-02," Lc 23,33.39-43","«Jesús, acuérdate de mí cuando vengas con tu Reino» Hoy, el Evangelio evoca el hecho más fundamental del cristiano: la m..."
2026-11-03," Lc 14,15-24","«Sal a los caminos y cercas, y obliga a entrar hasta que se llene mi casa» Hoy, el Señor nos ofrece una imagen de la ete..."
2026-11-04," Lc 14,25-33",«Quien no lleve su cruz detrás de mí no puede ser discípulo mío» Hoy contemplamos a Jesús en camino hacia Jerusalén. All...
2026-11-05," Lc 15,1-10","«Habrá más alegría en el cielo por un solo pecador que se convierta» Hoy, el evangelista de la misericordia de Dios nos ..."
2026-11-06," Lc 16,1-8","«Los hijos de este mundo son más astutos (...) que los hijos de la luz» Hoy, el Evangelio nos presenta una cuestión sorp..."
2026-11-07," Lc 16,9-15","«El que es fiel en lo mínimo, lo es también en lo mucho» Hoy, Jesús habla de nuevo con autoridad: usa el «Yo os digo», q..."
2026-11-08," Mt 25,1-13","«¡Ya está aquí el novio! ¡Salid a su encuentro!» Hoy, se nos invita a reflexionar sobre el fin de la existencia; se trat..."
2026-11-09," Jn 2,13-22","«Destruid este templo y en tres días lo levantaré» Hoy, en esta fiesta universal de la Iglesia, recordamos que aunque Di..."
2026-11-10," Lc 17,7-10","«Hemos hecho lo que debíamos hacer» Hoy, la atención del Evangelio no se dirige a la actitud del amo, sino a la de los s..."
2026-11-11," Lc 17,11-19","«Postrándose rostro en tierra a los pies de Jesús, le daba gracias» Hoy, Jesús pasa cerca de nosotros para hacernos vivi..."
2026-11-12," Lc 17,20-25","«El Reino de Dios ya está entre vosotros» Hoy, los fariseos preguntan a Jesús una cosa que ha interesado siempre con una..."
2026-11-13," Lc 17,26-37","«Comían, bebían, compraban, vendían, plantaban, construían» Hoy, en el texto del Evangelio son remarcados el final de lo..."
2026-11-14," Lc 18,1-8","«Es preciso orar siempre sin desfallecer» Hoy, en los últimos días del año litúrgico, Jesús nos exhorta a orar, a dirigi..."
2026-11-15," Mt 25,14-30","«A todo el que tiene, se le dará y le sobrará» Hoy, Jesús nos narra otra parábola del juicio. Nos acercamos a la fiesta ..."
2026-11-16," Lc 18,35-43","«Tu fe te ha salvado» Hoy, el ciego Bartimeo (cf. Mc 10,46) nos provee toda una lección de fe, manifestada con franca se..."
2026-11-17," Lc 19,1-10","«El Hijo del hombre ha venido a buscar y salvar lo que estaba perdido» Hoy, Zaqueo soy yo. Este personaje era rico y jef..."
2026-11-18," Lc 19,11-28","«Negociad hasta que vuelva» Hoy, el Evangelio nos propone la parábola de las minas: una cantidad de dinero que aquel nob..."
2026-11-19," Lc 19,41-44","«¡Si (...) tú conocieras en este día el mensaje de paz!» Hoy, la imagen que nos presenta el Evangelio es la de un Jesús ..."
2026-11-20," Lc 19,45-48","«Mi casa será casa de oración» Hoy, el gesto de Jesús es profético. A la manera de los antiguos profetas, realiza una ac..."
2026-11-21," Lc 20,27-40","«No es un Dios de muertos, sino de vivos, porque para Él todos viven» Hoy, la Palabra de Dios nos habla del tema capital..."
2026-11-22," Mt 25,31-46","«Cuanto hicisteis a unos de estos hermanos míos más pequeños, a mí me lo hicisteis» Hoy, Jesús nos habla del juicio defi..."
2026-11-23," Lc 21,1-4","«Ha echado de lo que necesitaba, todo cuanto tenía para vivir» Hoy, como casi siempre, las cosas pequeñas pasan desaperc..."
2026-11-24," Lc 21,5-11","«No quedará piedra sobre piedra» Hoy escuchamos asombrados la severa advertencia del Señor: «Esto que veis, llegarán día..."
2026-11-25," Lc 21,12-19",«Con vuestra perseverancia salvaréis vuestras almas» Hoy ponemos atención en esta sentencia breve e incisiva de nuestro ...
2026-11-26," Lc 21,20-28","«Cobrad ánimo y levantad la cabeza porque se acerca vuestra liberación» Hoy al leer este santo Evangelio, ¿cómo no ver r..."
2026-11-27," Lc 21,29-33","«Cuando veáis que sucede esto, sabed que el Reino de Dios está cerca» Hoy somos invitados por Jesús a ver las señales qu..."
2026-11-28," Lc 21,34-36","«Estad en vela (...) orando en todo tiempo» Hoy, último día del tiempo ordinario, Jesús nos advierte con meridiana clari..."
